NIT de la Entidad;Nombre de la Entidad
899999073;CAJA DE SUELDOS DE RETIRO DE LA POLICIçA NACIONAL (CASUR)
899999069;INSTITUTO COLOMBIANO AGROPECUARIO (ICA)
899999067;CONTRALORIçA GENERAL DE LA REPUBLICA (CGR)
899999059;AERONIÅUTICA CIVIL (AEROCIVIL)
899999055;MINISTERIO DE TRANSPORTE (MINTRANSPORTE)
899999054;ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA (ESAP)
899999053;MINISTERIO DE TECNOLOGIçAS DE LA INFORMACON Y LAS COMUNICACIONES (MINTIC)
899999050;ORGANIZACIONES SOLIDARIAS (OS)
899999048;INSTITUTO DE PLANIFICACION Y PROMOCION DE SOLUCIONES ENERGETICAS PARA LAS ZONAS NO INTERCONECTADAS (IPSE)
899999042;MINISTERIO DE RELACIONES EXTERIORES (CANCILLERIA)
899999040;REGISTRADURIçA NACIONAL DEL ESTADO CIVIL (RNEC)
899999035;INSTITUTO COLOMBIANO DE CREDITO EDUCATIVO Y ESTUDIOS TECNICOS EN EL EXTERIOR (ICETEX)
899999034;SERVICIO NACIONAL DE APRENDIZAJE (SENA)
899999028;MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL (MINAGRICULTURA)
899999027;DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADIçSTICA (DANE)
899999022;MINISTERIO DE MINAS Y ENERGIçA (MINMINAS)
899999020;DEPARTAMENTO ADMINISTRATIVO DE LA FUNCION PUBLICA (DAFP)
899999014;MINISTERIO DE SALUD Y PROTECCION SOCIAL (MINSALUD)
899999011;DEPARTAMENTO NACIONAL DE PLANEACION (DNP)
899999007;SUPERINTENDENCIA DE NOTARIADO Y REGISTRO (SUPERNOTARIADO)
899999004;INSTITUTO GEOGRIÅFICO AGUSTIçN CODAZZI (IGAC)
899999003;MINISTERIO DE DEFENSA NACIONAL (MINDEFENSA)
899999001;MINISTERIO DE EDUCACION NACIONAL (MEN)
892400461;INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL DEL DEPARTAMENTO DE SAN ANDRES  PROVIDENCIA Y SANTA CATALINA (INFOTEP SAN ANDRES)
890999057;SUPERINTENDENCIA FINANCIERA DE COLOMBIA (SUPERFINANCIERA)
890704536;CORTOLIMA - CORPORACION AUTONOMA REGIONAL DEL TOLIMA
890505253;CORPONOR - CORPORACION AUTONOMA REGIONAL DE LA FRONTERA NORORIENTAL
890201573;CDMB - CORPORACION AUTONOMA REGIONAL PARA LA DEFENSA DE LA MESETA DE BUCARAMANGA
860523694;ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL (ITC)
860511071;FONDO ROTATORIO DEL MINISTERIO DE RELACIONES EXTERIORES
860402193;INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL DE SAN JUAN DEL CESAR (INFOTEP CESAR)
860062187;SUPERINTENDENCIA NACIONAL DE SALUD (SUPERSALUD)
860041247;INSTITUTO DE CASAS FISCALES DEL EJERCITO (ICFE)
860024301;INSTITUTO COLOMBIANO PARA EL FOMENTO DE LA EDUCACION SUPERIOR (ICFES)
860020227;FONDO ROTATORIO DE LA POLICIçA NACIONAL (FORPO)
860016951;CLUB MILITAR (CLUB MILITAR)
860016627;INSTITUTO NACIONAL PARA SORDOS (INSOR)
860015971;INSTITUTO NACIONAL PARA CIEGOS (INCI)
835000300;VALLE DEL CAUCA - UNIVERSIDAD DEL PACIçFICO - BUENAVENTURA
830127607;AGENCIA NACIONAL DE HIDROCARBUROS (ANH)
830125996;AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI)
830122398;INSTITUTO COLOMBIANO DE DESARROLLO RURAL (INCODER) - EN LIQUIDACION
830115395;MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE (MINAMBIENTE)
830115297;MINISTERIO DE COMERCIO  INDUSTRIA Y TURISMO (MINCIT)
830115226;MINISTERIO DEL TRABAJO (MINTRABAJO)
830114475;MINISTERIO DEL INTERIOR (MININTERIOR)
830068074;UNIDAD DE INFORMACION Y ANIÅLISIS FINANCIERO (UIAF)
830067892;INSTITUTO COLOMBIANO DE ANTROPOLOGIçA E HISTORIA (ICANH)
830065741;AUDITORIçA GENERAL DE LA REPUBLICA (AGR)
830053043;SUPERINTENDENCIA DE LA ECONOMIçA SOLIDARIA (SUPERSOLIDARIA)
830040256;HOSPITAL MILITAR CENTRAL (HOMIC)
830034348;MINISTERIO DE CULTURA (MINCULTURA)
830025406;CONTADURIçA GENERAL DE LA NACION (CGN)
830001113;IMPRENTA NACIONAL DE COLOMBIA (INC)
830000602;INSTITUTO DE HIDROLOGIçA  METEOROLOGIçA Y ESTUDIOS AMBIENTALES (IDEAM)
830000282;UNIDAD DE PLANEACION MINERO ENERGETICA (UPME)
830000212;COMISION DE REGULACION DE AGUA POTABLE Y SANEAMIENTO BIÅSICO (CRA)
830000167;INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS (INVIMA)
829000127;CORMAGDALENA - CORPORACION AUTONOMA REGIONAL DEL RIçO GRANDE DE LA MAGDALENA
827000031;CORALINA - CORPORACION PARA EL DESARROLLO SOSTENIBLE DEL ARCHIPIELAGO DE SAN ANDRES  PROVIDENCIA Y SANTA CATALINA
823000077;CORPOMOJANA - CORPORACION PARA EL DESARROLLO SOSTENIBLE DE LA MOJANA Y EL SAN JORGE
822000091;CORMACARENA - CORPORACION PARA EL DESARROLLO SOSTENIBLE DE LA MACARENA
814001171;NARIIëO - INSTITUCION EDUCATIVA EL TABLON PANAMERICANO - TAMINANGO
811000231;CORANTIOQUIA - CORPORACION AUTONOMA REGIONAL DEL CENTRO DE ANTIOQUIA
800250984;SUPERINTENDENCIA DE SERVICIOS PUBLICOS DOMICILIARIOS (SSPD)
800248004;INSTITUTO TECNICO NACIONAL DE COMERCIO SIMON RODRIçGUEZ (INTENALCO)
800237214;CORPORACION NASA KIWE (NASA KIWE)
800217123;SUPERINTENDENCIA DE VIGILANCIA Y SEGURIDAD PRIVADA (SUPERVIGILANCIA)
800215807;INSTITUTO NACIONAL DE VIçAS (INVIAS)
800215546;INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO (INPEC)
800197268;DIRECCION DE IMPUESTOS Y ADUANAS NACIONALES (DIAN)
800186061;DEFENSORIçA DEL PUEBLO (DEFENSORIçA)
800185929;DIRECCION NACIONAL DEL DERECHO DE AUTOR (DNDA)
800176089;SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO (SUPERINDUSTRIA)
800173719;INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL (ITFIP)
800152783;FISCALIçA GENERAL DE LA NACION (FGN)
800150861;INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES
800140603;DIRECCION GENERAL DE LA POLICIçA NACIONAL (PONAL)
800128835;ARCHIVO GENERAL DE LA NACION (AGN)
800112806;FONDO PASIVO SOCIAL DE FERROCARRILES NACIONALES DE COLOMBIA (FPS)
111111111;AGENCIA DE RENOVACION DEL TERRITORIO
